,Unnamed: 0,recordId,callKey,callDateTime,priority,district,description,callNumber,incidentLocation,location,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,ZIPCode,ESRI_OID,geo,point,latitude,longitude,altitude
20,182,11617241,5301020A63968999,2022/12/11 20:53:00+00,High,SE,DISCHRG FIREARM,P223454146,1400 E BALTIMORE ST,1400 E BALTIMORE ST BALTIMORE MD,Washington Hill,Southeastern,212.0,12.0,D7,Harbor East/Little Italy,Census Tract 301,21231.0,73358,"1400, East Baltimore Street, Washington Hill, Baltimore, Maryland, 21231, United States","(39.291471, -76.598542, 0.0)",39.291471,-76.598542,0.0
21,183,11617135,5301020A63968AE0,2022/12/11 20:58:00+00,High,SE,COMMON ASSAULT,P223454166,500 S CURLEY ST,500 S CURLEY ST BALTIMORE MD,Canton,Southeastern,232.0,1.0,D6,Patterson Park North & East,Census Tract 102,21224.0,73359,"500, South Curley Street, Canton, Baltimore, Maryland, 21224, United States","(39.2859651, -76.57525829714581, 0.0)",39.2859651,-76.57525829714581,0.0
22,184,11618946,5301020A63971E8A,2022/12/12 07:28:00+00,High,SE,AUTO ACC/INJURY,P223461275,S EDEN ST/E PRATT ST,S EDEN ST and E PRATT ST BALTIMORE MD,Washington Hill,Southeastern,212.0,12.0,D7,Harbor East/Little Italy,Census Tract 301,21231.0,73368,,"(None, None, None)",,,
23,185,11619056,5301020A63972595,2022/12/12 07:59:00+00,High,SD,COMMON ASSAULT,P223461341,2500 SEABURY RD,2500 SEABURY RD BALTIMORE MD,Cherry Hill,Southern,922.0,10.0,D7,Cherry Hill,Census Tract 2502.07,21225.0,73370,"Seabury Road, Cherry Hill, Baltimore, Maryland, 21225, United States","(39.2491901, -76.6213211, 0.0)",39.2491901,-76.6213211,0.0
24,186,11619536,5301020A639742D9,2022/12/12 10:03:00+00,High,ED,BURGLARY,P223461781,400 N COLLINGTON AV,400 N COLLINGTON AV BALTIMORE MD,CARE,Eastern,321.0,13.0,D5,Patterson Park North & East,Census Tract 603,21231.0,73381,"400, North Collington Avenue, CARE, Baltimore, Maryland, 21231, United States","(39.29557, -76.586574, 0.0)",39.29557,-76.586574,0.0
25,187,11619596,5301020A63974D94,2022/12/12 10:49:00+00,High,ED,BURGLARY,P223461955,3000 E MONUMENT ST,3000 E MONUMENT ST BALTIMORE MD,Madison-Eastend,Eastern,323.0,13.0,D5,Madison/East End,Census Tract 701,21205.0,73385,"3000, East Monument Street, Madison-Eastend, Baltimore, Maryland, 21205, United States","(39.29931195, -76.5750976396427, 0.0)",39.29931195,-76.5750976396427,0.0
26,188,11620337,5301020A6397755B,2022/12/12 13:39:00+00,High,ED,AUTO ACC/INJURY,P223462710,N GAY ST/N WOLFE ST,N GAY ST and N WOLFE ST BALTIMORE MD,Broadway East,Eastern,331.0,12.0,D5,Greenmount East,Census Tract 807,21213.0,73394,,"(None, None, None)",,,
0,189,11621217,5301020A6397B928,2022/12/12 18:28:00+00,High,ED,BURGLARY,P223463927,900 N ROSE ST,900 N ROSE ST BALTIMORE MD,Milton-Montford,Eastern,323.0,13.0,D5,Madison/East End,Census Tract 702,21205.0,73413,"900, North Rose Street, Milton-Montford, Baltimore, Maryland, 21205, United States","(39.301095, -76.581836, 0.0)",39.301095,-76.581836,0.0
1,190,11621502,5301020A6397C71D,2022/12/12 19:28:00+00,High,CD,COMMON ASSAULT,P223464183,300 S CHARLES ST,300 S CHARLES ST BALTIMORE MD,Downtown West,Central,113.0,11.0,D7,Inner Harbor/Federal Hill,Census Tract 2201,21201.0,73415,"Sheraton Inner Harbor Hotel, 300, South Charles Street, Downtown West, Baltimore, Maryland, 21201, United States","(39.2845922, -76.61540604897564, 0.0)",39.2845922,-76.61540604897564,0.0
2,191,11621984,5301020A6397D4F2,2022/12/12 20:27:00+00,High,ND,OVERDOSE,P223464428,600 WYANOKE AV,600 WYANOKE AV BALTIMORE MD,Pen Lucy,Northern,542.0,4.0,D2,Greater Govans,Census Tract 901,21218.0,73417,"600, Wyanoke Avenue, Pen Lucy, Baltimore, Maryland, 21218, United States","(39.33746805, -76.60737581006158, 0.0)",39.33746805,-76.60737581006158,0.0
3,192,11622276,5301020A6397EE0A,2022/12/12 22:14:00+00,High,SD,COMMON ASSAULT,P223464796,2600 MAISEL ST,2600 MAISEL ST BALTIMORE MD,Westport,Southern,921.0,10.0,D7,Westport/Mount Winans/Lakeland,Census Tract 2503.01,21230.0,73427,"2600, Maisel Street, Westport, Baltimore, Maryland, 21230, United States","(39.262693, -76.63781, 0.0)",39.262693,-76.63781,0.0
4,193,11622417,5301020A6397F870,2022/12/12 22:58:00+00,High,NE,CAR JACKING,P223464901,3400 BLK PARKLAWN AV,3400 BLK PARKLAWN AV BALTIMORE MD,Belair-Edison,Northeastern,432.0,13.0,D5,Belair-Edison,Census Tract 801.01,21213.0,73431,,"(None, None, None)",,,
5,194,11622405,5301020A6397FCCC,2022/12/12 23:17:00+00,High,SE,ARMED PERSON,P223464931,S CLINTON ST/FOSTER AV,S CLINTON ST and FOSTER AV BALTIMORE MD,Canton,Southeastern,232.0,1.0,D6,Highlandtown,Census Tract 2611,21224.0,73434,,"(None, None, None)",,,
6,195,11622833,5301020A639818EA,2022/12/13 01:17:00+00,High,WD,NONBREATHING / A,P223470376,1500 N GILMOR ST,1500 N GILMOR ST BALTIMORE MD,Sandtown-Winchester,Western,742.0,7.0,D8,Sandtown-Winchester/Harlem Park,Census Tract 1501,21217.0,73442,"1500, North Gilmor Street, Sandtown-Winchester, Baltimore, Maryland, 21217, United States","(39.3055177, -76.6436826, 0.0)",39.3055177,-76.6436826,0.0
7,196,11624142,5301020A639879A9,2022/12/13 08:10:00+00,High,ED,AUTO ACC/INJURY,P223471638,E NORTH AV/HARFORD RD,E NORTH AV and HARFORD RD BALTIMORE MD,East Baltimore Midway,Eastern,342.0,12.0,D5,Greenmount East,Census Tract 909,21213.0,73464,,"(None, None, None)",,,
8,197,11624392,5301020A63988630,2022/12/13 09:03:00+00,High,ND,AUTO ACC/INJURY,P223471819,W COLD SPRING LN/OAKFORD AV,W COLD SPRING LN and OAKFORD AV BALTIMORE MD,Parklane,Northern,532.0,6.0,D2,Southern Park Heights,Census Tract 1513,21215.0,73467,,"(None, None, None)",,,
9,198,11624327,5301020A63988721,2022/12/13 09:07:00+00,High,ND,AUTO ACC/INJURY,P223471831,FALLS RD/CENTENNIAL WY,FALLS RD and CENTENNIAL WY BALTIMORE MD,Cross Keys,Northern,541.0,6.0,D2,Greater Roland Park/Poplar Hill,Census Tract 2714,21209.0,73468,,"(None, None, None)",,,
10,199,11624508,5301020A63988A56,2022/12/13 09:21:00+00,High,SD,WATER RESCUE,P223471894,0TH ST/AUDREY AV,0TH ST and AUDREY AV BALTIMORE MD,Brooklyn,Southern,913.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.02,21225.0,73470,,"(None, None, None)",,,
11,200,11625086,5301020A6398B079,2022/12/13 12:03:00+00,High,NE,AGGRAV ASSAULT,P223472574,4500 ERDMAN AV,4500 ERDMAN AV BALTIMORE MD,Orchard Ridge,Northeastern,433.0,13.0,D6,Claremont/Armistead,Census Tract 2603.03,21213.0,73478,"4500, Erdman Avenue, Orchard Ridge, Baltimore, Maryland, 21213, United States","(39.30995585, -76.56270997153715, 0.0)",39.30995585,-76.56270997153715,0.0
12,201,11625607,5301020A6398CAD1,2022/12/13 13:56:00+00,High,NW,OVERDOSE,P223473024,GARRISON BL/LIBERTY HEIGHTS AV,GARRISON BL and LIBERTY HEIGHTS AV BALTIMORE MD,Dorchester,Northwestern,621.0,6.0,D1,Dorchester/Ashburton,Census Tract 1510,21207.0,73484,,"(None, None, None)",,,
13,202,11625512,5301020A6398CC89,2022/12/13 14:03:00+00,High,SE,ARMED PERSON,P223473048,100 S BROADWAY,100 S BROADWAY BALTIMORE MD,Washington Hill,Southeastern,212.0,12.0,D7,Harbor East/Little Italy,Census Tract 301,21231.0,73485,"7-Eleven, 100, South Broadway, Washington Hill, Baltimore, Maryland, 21231, United States","(39.29020615, -76.59428157424003, 0.0)",39.29020615,-76.59428157424003,0.0
14,203,11625511,5301020A6398CD55,2022/12/13 14:07:00+00,High,CD,AGGRAV ASSAULT,P223473062,400 W MULBERRY ST,400 W MULBERRY ST BALTIMORE MD,Downtown,Central,111.0,11.0,D7,Downtown/Seton Hill,Census Tract 401,21201.0,73486,"400, West Mulberry Street, Allendale, Baltimore, Maryland, 21229, United States","(39.2919665, -76.67565653976511, 0.0)",39.2919665,-76.67565653976511,0.0
15,204,11625854,5301020A6398DAA2,2022/12/13 15:03:00+00,High,NE,AUTO ACC/INJURY,P223473247,GARRETT AV/E 0TH ST,GARRETT AV and E 0TH ST BALTIMORE MD,East Baltimore Midway,Eastern,342.0,12.0,D5,Midway/Coldstream,Census Tract 908,21218.0,73489,,"(None, None, None)",,,
16,205,11627624,5301020A639937AA,2022/12/13 21:40:00+00,High,ED,DISCHRG FIREARM,P223475050,900 WEBB CT,900 WEBB CT BALTIMORE MD,Oldtown,Eastern,312.0,12.0,D5,Oldtown/Middle East,Census Tract 1002,21202.0,73525,"Webb Court, Old Town, Baltimore, Maryland, 21202, United States","(39.3007119, -76.6043416, 0.0)",39.3007119,-76.6043416,0.0
17,206,11629320,5301020A6399C6E4,2022/12/14 07:51:00+00,High,SW,AUTO ACC/INJURY,P223481481,5300 WINDSOR MILL RD,5300 WINDSOR MILL RD BALTIMORE MD,Franklintown,Southwestern,821.0,8.0,D9,Dickeyville/Franklintown,Census Tract 2803.01,21207.0,73537,"5300, Windsor Mill Road, Dickeyville, Baltimore, Maryland, 21207, United States","(39.310728, -76.708104, 0.0)",39.310728,-76.708104,0.0
18,207,11629289,5301020A6399C88D,2022/12/14 07:58:00+00,High,CD,COMMON ASSAULT,P223481512,1000 W NORTH AV,1000 W NORTH AV BALTIMORE MD,Madison Park,Central,132.0,7.0,D8,Upton/Druid Heights,Census Tract 1403,21217.0,73538,"1000, West North Avenue, Reservoir Hill, Baltimore, Maryland, 21217, United States","(39.310568, -76.634211, 0.0)",39.310568,-76.634211,0.0
19,208,11629645,5301020A6399E3DD,2022/12/14 09:55:00+00,High,CD,AGGRAV ASSAULT,P223481887,1800 N CHARLES ST,1800 N CHARLES ST BALTIMORE MD,Charles North,Central,141.0,12.0,D8,Midtown,Census Tract 1205,21201.0,73542,"Youth Advocate Programs, 1800, North Charles Street, Charles North, Baltimore, Maryland, 21201, United States","(39.3099208, -76.6168637, 0.0)",39.3099208,-76.6168637,0.0
20,209,11630444,5301020A639A1311,2022/12/14 13:16:00+00,High,NW,COMMON ASSAULT,P223482732,2500 LIBERTY HEIGHTS AV,2500 LIBERTY HEIGHTS AV BALTIMORE MD,Burleith-Leighton,Northwestern,611.0,7.0,D9,Greater Mondawmin,Census Tract 1505,21215.0,73560,"2500, Liberty Heights Avenue, Liberty Square, Mondawmin, Baltimore, Maryland, 21215, United States","(39.3197603, -76.65566642612951, 0.0)",39.3197603,-76.65566642612951,0.0
21,210,11630600,5301020A639A216F,2022/12/14 14:18:00+00,High,ND,COMMON ASSAULT,P223482944,BRENTWOOD AV/E 0TH ST,BRENTWOOD AV and E 0TH ST BALTIMORE MD,Barclay,Eastern,341.0,12.0,D2,Greater Charles Village/Barclay,Census Tract 1203,21218.0,73570,,"(None, None, None)",,,
22,211,11630717,5301020A639A2CBD,2022/12/14 15:06:00+00,High,ND,COMMON ASSAULT,P223483042,500 CHATEAU AV,500 CHATEAU AV BALTIMORE MD,Winston-Govans,Northern,524.0,4.0,D2,Greater Govans,Census Tract 2710.02,21212.0,73575,"500, Chateau Avenue, Winston-Govans, Baltimore, Maryland, 21212, United States","(39.3509918, -76.609175963718, 0.0)",39.3509918,-76.609175963718,0.0
23,212,11631145,5301020A639A4E95,2022/12/14 17:30:00+00,High,NE,BURGLARY,P223483631,1000 RODMAN WY,1000 RODMAN WY BALTIMORE MD,Armistead Gardens,Northeastern,433.0,2.0,D6,Claremont/Armistead,Census Tract 2604.01,21205.0,73585,"1000, Rodman Way, Armistead Gardens, Baltimore, Maryland, 21205, United States","(39.30408, -76.547801, 0.0)",39.30408,-76.547801,0.0
24,213,11632352,5301020A639A93BC,2022/12/14 22:25:00+00,High,NE,AGGRAV ASSAULT,P223484807,5400 RADECKE AV,5400 RADECKE AV BALTIMORE MD,Frankford,Northeastern,444.0,2.0,D4,Cedonia/Frankford,Census Tract 2602.03,21206.0,73605,"5400, Radecke Avenue, Frankford, Baltimore, Maryland, 21206, United States","(39.32942315, -76.54137374264009, 0.0)",39.32942315,-76.54137374264009,0.0
25,214,11634047,5301020A639B096A,2022/12/15 06:47:00+00,High,CD,AUTO ACC/INJURY,P223491277,S PACA ST/W PRATT ST,S PACA ST and W PRATT ST BALTIMORE MD,Downtown West,Southern,941.0,11.0,D7,Inner Harbor/Federal Hill,Census Tract 401,21201.0,73608,,"(None, None, None)",,,
26,215,11634347,5301020A639B2D76,2022/12/15 09:21:00+00,High,ED,COMMON ASSAULT,P223491717,2000 HARFORD RD,2000 HARFORD RD BALTIMORE MD,East Baltimore Midway,Eastern,342.0,12.0,D5,Clifton-Berea,Census Tract 805,21213.0,73615,"2000, Harford Road, East Baltimore Midway, Baltimore, Maryland, 21218, United States","(39.313109, -76.599082, 0.0)",39.313109,-76.599082,0.0
0,216,11634512,5301020A639B38CE,2022/12/15 10:10:00+00,High,CD,AUTO ACC/INJURY,P223491897,S PACA ST/W LOMBARD ST,S PACA ST and W LOMBARD ST BALTIMORE MD,University Of Maryland,Central,111.0,11.0,D7,Downtown/Seton Hill,Census Tract 401,21201.0,73620,,"(None, None, None)",,,
1,217,11638671,5301020A639C4C8D,2022/12/16 05:46:00+00,High,SD,CAR JACKING,P223501112,3900 8TH ST,3900 8TH ST BALTIMORE MD,Brooklyn,Southern,913.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.02,21225.0,74515,"3900, 8th Street, Brooklyn, Baltimore, Maryland, 21225, United States","(39.23239135, -76.60158899786676, 0.0)",39.23239135,-76.60158899786676,0.0
2,218,11639143,5301020A639C86DC,2022/12/16 09:55:00+00,High,CD,BURGLARY,P223501687,200 E EAGER ST,200 E EAGER ST BALTIMORE MD,Mid-Town Belvedere,Central,141.0,12.0,D8,Midtown,Census Tract 1101,21202.0,74524,"200, East Eager Street, Mid-Town Belvedere, Baltimore, Maryland, 21202, United States","(39.301269, -76.612295, 0.0)",39.301269,-76.612295,0.0
3,219,11639265,5301020A639C8814,2022/12/16 10:00:00+00,High,ND,COMMON ASSAULT,P223501710,3000 VIRGINIA AV,3000 VIRGINIA AV BALTIMORE MD,Cylburn,Northern,532.0,6.0,D1,Southern Park Heights,Census Tract 2716,21215.0,74525,"3000, Virginia Avenue, Cylburn, Baltimore, Maryland, 21215, United States","(39.3451996, -76.66568687186233, 0.0)",39.3451996,-76.66568687186233,0.0
4,220,11639904,5301020A639CB36F,2022/12/16 13:05:00+00,High,WD,ROBBERY ARMED,P223502428,N GILMOR ST/W LANVALE ST,N GILMOR ST and W LANVALE ST BALTIMORE MD,Harlem Park,Western,713.0,9.0,D8,Sandtown-Winchester/Harlem Park,Census Tract 1602,21217.0,74533,,"(None, None, None)",,,
5,221,11639922,5301020A639CB582,2022/12/16 13:14:00+00,High,ND,BURGLARY,P223502462,400 E 27TH ST,400 E 27TH ST BALTIMORE MD,Harwood,Northern,513.0,12.0,D2,Greater Charles Village/Barclay,Census Tract 1203,21218.0,74535,"400, East 27th Street, Harwood, Baltimore, Maryland, 21218, United States","(39.32107875, -76.61066470211622, 0.0)",39.32107875,-76.61066470211622,0.0
6,222,11639760,5301020A639CB758,2022/12/16 13:22:00+00,High,NE,AGGRAV ASSAULT,P223502493,3800 BONVIEW AV,3800 BONVIEW AV BALTIMORE MD,Belair-Edison,Northeastern,432.0,13.0,D6,Belair-Edison,Census Tract 2603.02,21213.0,74537,"3800, Bonview Avenue, Belair-Edison, Baltimore, Maryland, 21213, United States","(39.31515345, -76.56367261862219, 0.0)",39.31515345,-76.56367261862219,0.0
7,223,11640038,5301020A639CB9C2,2022/12/16 13:32:00+00,High,SW,AGGRAV ASSAULT,P223502513,WESTSIDE SHOPPING CENTER,WESTSIDE SHOPPING CENTER BALTIMORE MD,Millhill,Southwestern,841.0,9.0,D8,Southwest Baltimore,Census Tract 2005,21223.0,74538,"Westside Shopping Center, Baltimore, Maryland, United States","(39.28267245, -76.65455992926996, 0.0)",39.28267245,-76.65455992926996,0.0
8,224,11640077,5301020A639CC242,2022/12/16 14:08:00+00,High,SD,ARMED PERSON,P223502634,1000 BLK W PRATT ST,1000 BLK W PRATT ST BALTIMORE MD,Washington Village/Pigtown,Southern,932.0,10.0,D7,Washington Village/Pigtown,Census Tract 2102,21223.0,74543,,"(None, None, None)",,,
9,225,11643505,5301020A639DCE6D,2022/12/17 09:13:00+00,High,CD,COMMON ASSAULT,P223511472,300 W BALTIMORE ST,300 W BALTIMORE ST BALTIMORE MD,Downtown,Central,111.0,11.0,D7,Downtown/Seton Hill,Census Tract 401,21201.0,74551,"300, West Baltimore Street, Chinatown, Downtown, Baltimore, Maryland, 21201, United States","(39.2894969, -76.6196485, 0.0)",39.2894969,-76.6196485,0.0
10,226,11643729,5301020A639DD9D4,2022/12/17 10:01:00+00,High,SW,ARMED PERSON,P223511659,MT HOLLY ST/HARLEM AV,MT HOLLY ST and HARLEM AV BALTIMORE MD,Edgewood,Southwestern,844.0,8.0,D10,Edmondson Village,Census Tract 1608.02,21229.0,74554,,"(None, None, None)",,,
11,227,11643714,5301020A639DDEF2,2022/12/17 10:23:00+00,High,SE,BANK HOLDUP,P223511712,400 S BROADWAY,400 S BROADWAY BALTIMORE MD,Fells Point,Southeastern,213.0,1.0,D7,Harbor East/Little Italy,Census Tract 301,21231.0,74555,"400, South Broadway, Fell's Point, Baltimore, Maryland, 21231, United States","(39.286482, -76.593732, 0.0)",39.286482,-76.593732,0.0
12,228,11643927,5301020A639DE146,2022/12/17 10:33:00+00,High,SD,BURGLARY,P223511740,2600 CARVER RD,2600 CARVER RD BALTIMORE MD,Cherry Hill,Southern,922.0,10.0,D7,Cherry Hill,Census Tract 2502.04,21225.0,74556,"2600, Carver Road, Cherry Hill, Baltimore, Maryland, 21225, United States","(39.249083, -76.625799, 0.0)",39.249083,-76.625799,0.0
13,229,11643878,5301020A639DE53B,2022/12/17 10:50:00+00,High,NW,AUTO ACC/INJURY,P223511794,W COLD SPRING LN/REISTERSTOWN RD,W COLD SPRING LN and REISTERSTOWN RD BALTIMORE MD,Central Park Heights,Northwestern,614.0,6.0,D1,Southern Park Heights,Census Tract 1513,21215.0,74557,,"(None, None, None)",,,
14,230,11644083,5301020A639DFCAC,2022/12/17 12:30:00+00,High,ND,BURGLARY,P223512153,300 E 25TH ST,300 E 25TH ST BALTIMORE MD,Barclay,Eastern,341.0,12.0,D2,Greater Charles Village/Barclay,Census Tract 1203,21218.0,74562,"300, East 25th Street, Harwood, Baltimore, Maryland, 21218, United States","(39.31823085, -76.61274165151383, 0.0)",39.31823085,-76.61274165151383,0.0
15,231,11644482,5301020A639E0AEF,2022/12/17 13:31:00+00,High,CD,AUTO ACC/INJURY,P223512370,MCCULLOH ST/GOLD ST,MCCULLOH ST and GOLD ST BALTIMORE MD,Druid Heights,Central,131.0,7.0,D8,Upton/Druid Heights,Census Tract 1403,21217.0,74565,,"(None, None, None)",,,
16,232,11644663,5301020A639E1905,2022/12/17 14:31:00+00,High,ND,COMMON ASSAULT,P223512515,2600 MILES AV,2600 MILES AV BALTIMORE MD,Remington,Northern,511.0,12.0,D2,Medfield/Hampden/Woodberry/Remington,Census Tract 1207,21211.0,74569,"2600, Miles Avenue, Remington, Baltimore, Maryland, 21211, United States","(39.31852635, -76.622048377678, 0.0)",39.31852635,-76.622048377678,0.0
17,233,11644711,5301020A639E1B72,2022/12/17 14:41:00+00,High,SW,AGGRAV ASSAULT,P223512531,0 N MONASTERY AV,0 N MONASTERY AV BALTIMORE MD,Saint Josephs,Southwestern,842.0,8.0,D10,Allendale/Irvington/S. Hilton,Census Tract 2007.02,21229.0,74570,"North Monastery Avenue, Allendale, Baltimore, Maryland, 21229, United States","(39.2892654, -76.6747846, 0.0)",39.2892654,-76.6747846,0.0
18,234,11645272,5301020A639E5E90,2022/12/17 19:28:00+00,High,ND,COMMON ASSAULT,P223513530,800 W 40TH ST,800 W 40TH ST BALTIMORE MD,Roland Park,Northern,541.0,14.0,D2,Medfield/Hampden/Woodberry/Remington,Census Tract 1307,21211.0,74592,"800, West 40th Street, Roland Park, Baltimore, Maryland, 21211, United States","(39.337162, -76.632445, 0.0)",39.337162,-76.632445,0.0
19,235,11645629,5301020A639E6BED,2022/12/17 20:25:00+00,High,ND,AGGRAV ASSAULT,P223513738,3500 OLD YORK RD,3500 OLD YORK RD BALTIMORE MD,Waverly,Northern,543.0,14.0,D2,The Waverlies,Census Tract 903,21218.0,74594,"3500, Old York Road, Waverly, Baltimore, Maryland, 21218, United States","(39.3313403, -76.60824844427462, 0.0)",39.3313403,-76.60824844427462,0.0
20,236,11645879,5301020A639E7294,2022/12/17 20:53:00+00,High,SD,COMMON ASSAULT,P223513840,900 BETHUNE RD,900 BETHUNE RD BALTIMORE MD,Cherry Hill,Southern,922.0,10.0,D7,Cherry Hill,Census Tract 2502.04,21225.0,74598,"900, Bethune Road, Cherry Hill, Brooklyn Park, Maryland, 21225, United States","(39.2450332, -76.62413760447797, 0.0)",39.2450332,-76.62413760447797,0.0
21,237,11646100,5301020A639E7B83,2022/12/17 21:31:00+00,High,SD,COMMON ASSAULT,P223513941,0 W CROSS ST,0 W CROSS ST BALTIMORE MD,Federal Hill,Southern,942.0,11.0,D7,Inner Harbor/Federal Hill,Census Tract 2301,21230.0,74601,"West Cross Street, Federal Hill, Baltimore, Maryland, 21230, United States","(39.276762, -76.6149438, 0.0)",39.276762,-76.6149438,0.0
22,238,11646182,5301020A639E9510,2022/12/17 23:20:00+00,High,NW,AUTO ACC/INJURY,P223514206,3600 DOLFIELD AV,3600 DOLFIELD AV BALTIMORE MD,Dolfield,Northwestern,643.0,6.0,D1,Dorchester/Ashburton,Census Tract 1511,21215.0,74616,"3600, Dolfield Avenue, Dolfield, Baltimore, Maryland, 21215, United States","(39.33651115000001, -76.6752419, 0.0)",39.33651115000001,-76.6752419,0.0
23,239,11646632,5301020A639EADFE,2022/12/18 01:06:00+00,High,ND,AUTO ACC/INJURY,P223520253,3800 GREENMOUNT AV,3800 GREENMOUNT AV BALTIMORE MD,Guilford,Northern,542.0,14.0,D2,North Baltimore/Guilford/Homeland,Census Tract 1201,21218.0,74626,"3800, Greenmount Avenue, Guilford, Baltimore, Maryland, 21218, United States","(39.3353218, -76.6098368145453, 0.0)",39.3353218,-76.6098368145453,0.0
24,240,11647360,5301020A639F05A4,2022/12/18 07:20:00+00,High,SE,BURGLARY,P223521045,100 S ANN ST,100 S ANN ST BALTIMORE MD,Upper Fells Point,Southeastern,212.0,13.0,D6,Fells Point,Census Tract 202,21231.0,74645,"100, South Ann Street, Upper Fell's Point, Baltimore, Maryland, 21231, United States","(39.290373, -76.591807, 0.0)",39.290373,-76.591807,0.0
25,241,11647559,5301020A639F1EB8,2022/12/18 09:07:00+00,High,SD,COMMON ASSAULT,P223521276,CHRIST LUTHERAN CHURCH,CHRIST LUTHERAN CHURCH BALTIMORE MD,Otterbein,Southern,941.0,11.0,D7,Inner Harbor/Federal Hill,Census Tract 2201,21230.0,74650,"Christ Lutheran Church, Sollers Point Road, Norwood Park, Dundalk, Baltimore County, Maryland, 21222, United States","(39.2675914, -76.5203482, 0.0)",39.2675914,-76.5203482,0.0
26,242,11647635,5301020A639F2412,2022/12/18 09:30:00+00,High,NW,AGGRAV ASSAULT,P223521373,2900 REISTERSTOWN RD,2900 REISTERSTOWN RD BALTIMORE MD,Liberty Square,Northwestern,611.0,7.0,D1,Greater Mondawmin,Census Tract 1505,21215.0,74652,"2900, Reisterstown Road, Liberty Square, Baltimore, Maryland, 21215, United States","(39.32091245, -76.65472416572581, 0.0)",39.32091245,-76.65472416572581,0.0
0,243,11647699,5301020A639F29E4,2022/12/18 09:55:00+00,High,NW,DISCHRG FIREARM,P223521440,3100 GWYNNS FALLS PY,3100 GWYNNS FALLS PY BALTIMORE MD,Hanlon-Longwood,Northwestern,641.0,7.0,D9,Greater Mondawmin,Census Tract 1507.01,21216.0,74653,,"(None, None, None)",,,
1,244,11647714,5301020A639F3233,2022/12/18 10:30:00+00,High,WD,AGGRAV ASSAULT,P223521550,1200 N BENTALOU ST,1200 N BENTALOU ST BALTIMORE MD,Bridgeview/Greenlawn,Western,723.0,9.0,D9,Greater Rosemont,Census Tract 1605,21216.0,74655,"1200, North Bentalou Street, Bridgeview/Greenlawn, Baltimore, Maryland, 21216, United States","(39.30184235, -76.6538934376238, 0.0)",39.30184235,-76.6538934376238,0.0
2,245,11647859,5301020A639F354C,2022/12/18 10:44:00+00,High,ED,AGGRAV ASSAULT,P223521592,1800 N CHAPEL ST,1800 N CHAPEL ST BALTIMORE MD,Broadway East,Eastern,331.0,12.0,D5,Greenmount East,Census Tract 806,21213.0,74658,"1800, North Chapel Street, Broadway East, Baltimore, Maryland, 21213, United States","(39.31114555, -76.59112027830311, 0.0)",39.31114555,-76.59112027830311,0.0
3,246,11648256,5301020A639F5039,2022/12/18 12:39:00+00,High,CD,BURGLARY,P223521898,900-907 DRUID PARK LAKE DR,900-907 DRUID PARK LAKE DR BALTIMORE MD,Reservoir Hill,Central,133.0,7.0,D2,Penn North/Reservoir Hill,Census Tract 1301,21217.0,74666,,"(None, None, None)",,,
4,247,11648208,5301020A639F583F,2022/12/18 13:13:00+00,High,SE,OVERDOSE,P223522006,S BETHEL ST/E PRATT ST,S BETHEL ST and E PRATT ST BALTIMORE MD,Washington Hill,Southeastern,212.0,12.0,D7,Harbor East/Little Italy,Census Tract 301,21231.0,74668,,"(None, None, None)",,,
5,248,11649538,5301020A639FB289,2022/12/18 19:38:00+00,High,WD,AUTO ACC/INJURY,P223523299,PENNSYLVANIA AV/W NORTH AV,PENNSYLVANIA AV and W NORTH AV BALTIMORE MD,Penn North,Western,733.0,7.0,D9,Penn North/Reservoir Hill,Census Tract 1501,21217.0,74700,,"(None, None, None)",,,
6,249,11649957,5301020A639FCD75,2022/12/18 21:33:00+00,High,NE,COMMON ASSAULT,P223523669,1400 MONTPELIER ST,1400 MONTPELIER ST BALTIMORE MD,Coldstream Homestead Montebello,Northeastern,411.0,14.0,D5,The Waverlies,Census Tract 905,21218.0,74703,"1400, Montpelier Street, Coldstream-Homestead-Montebello, Baltimore, Maryland, 21218, United States","(39.322747, -76.599733, 0.0)",39.322747,-76.599733,0.0
7,250,11649940,5301020A639FCEDB,2022/12/18 21:39:00+00,High,CD,COMMON ASSAULT,P223523688,700 EDMONDSON AV,700 EDMONDSON AV BALTIMORE MD,Heritage Crossing,Central,121.0,11.0,D8,Upton/Druid Heights,Census Tract 1703,21201.0,74704,"700, Edmondson Avenue, Edmondson Ridge, Catonsville, Baltimore County, Maryland, 21228, United States","(39.277549, -76.7334753, 0.0)",39.277549,-76.7334753,0.0
8,251,11650138,5301020A639FE3B2,2022/12/18 23:08:00+00,High,NW,COMMON ASSAULT,P223523881,3600 W FOREST PARK AV,3600 W FOREST PARK AV BALTIMORE MD,Forest Park,Northwestern,642.0,6.0,D9,Forest Park/Walbrook,Census Tract 1508,21216.0,74713,"3600, West Forest Park Avenue, Forest Park, Park Heights, Baltimore, Maryland, 21216, United States","(39.324984549999996, -76.67704081701643, 0.0)",39.32498455,-76.67704081701643,0.0
